"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"WFC^P","Wells Fargo & Company","25.36","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/wfc^p",
"WFC^Q","Wells Fargo & Company","26.2525","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/wfc^q",
"WFC^R","Wells Fargo & Company","28.29","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/wfc^r",
"WFC^T","Wells Fargo & Company","25.55","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/wfc^t",
"WFC^V","Wells Fargo & Company","25.38","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/wfc^v",
"WFC^W","Wells Fargo & Company","25.4816","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/wfc^w",
"WFC^X","Wells Fargo & Company","25.84","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/wfc^x",
"WFC^Y","Wells Fargo & Company","26.03","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/wfc^y",
"WFC^Z","Wells Fargo & Company","25.19","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/wfc^z",
"EOD","Wells Fargo Global Dividend Opportunity Fund","4.36","$190.98M","2007","n/a","n/a","https://old.nasdaq.com/symbol/eod",
"WELL","Welltower Inc.","53.71","$22.41B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/well",
"WCC","WESCO International, Inc.","44.66","$2.23B","1999","Consumer Non-Durables","Telecommunications Equipment","https://old.nasdaq.com/symbol/wcc",
"WCC^A","WESCO International, Inc.","28.76","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/wcc^a",
"WST","West Pharmaceutical Services, Inc.","284.42","$21B","n/a","Basic Industries","Specialty Chemicals","https://old.nasdaq.com/symbol/wst",
"WAL","Western Alliance Bancorporation","38.78","$3.91B","2005","Finance","Major Banks","https://old.nasdaq.com/symbol/wal",
"WALA","Western Alliance Bancorporation","25.6069","n/a","2016","Finance","Major Banks","https://old.nasdaq.com/symbol/wala",
"WEA","Western Asset Bond Fund","13.19","$156.48M","2002","n/a","n/a","https://old.nasdaq.com/symbol/wea",
"TLI","Western Asset Corporate Loan Fund Inc","9.31","$91.95M","1998","n/a","n/a","https://old.nasdaq.com/symbol/tli",
